               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067693,            0.057354,                   0,             0.64786,             0.67854,             0.76335,              0.4583,            0.025541,            0.013762,                   0,            0.070234,           0.0033073,           0.0033073
                   1,             0.04026,            0.035895,                   0,             0.78395,             0.81282,             0.86726,             0.60663,            0.021111,            0.011129,                   0,            0.039906,           0.0063119,           0.0063119
                   2,            0.033812,            0.030629,                   0,             0.84755,             0.89109,             0.94004,             0.65315,            0.018794,           0.0095305,                   0,            0.009247,           0.0089865,           0.0089865
                   3,            0.027692,            0.027792,                   0,             0.86877,             0.87668,             0.94897,             0.74141,            0.015742,            0.010208,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.024224,            0.026075,                   0,             0.95404,             0.97616,             0.98324,             0.84061,            0.010225,           0.0090771,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.020664,            0.024415,                   0,             0.95845,             0.97076,             0.98502,             0.88025,            0.008733,           0.0085205,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.018623,             0.02359,                   0,             0.95729,             0.96658,             0.97867,             0.84134,           0.0094282,            0.008491,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.017071,             0.02258,                   0,             0.95898,             0.98144,             0.98421,             0.86949,           0.0091058,           0.0088479,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.015983,            0.021657,                   0,              0.9621,             0.97396,             0.98411,               0.895,           0.0069305,           0.0083703,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.014838,            0.021137,                   0,             0.95369,             0.98391,             0.98473,              0.8905,            0.006773,           0.0085979,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.013452,            0.020257,                   0,             0.96572,             0.97772,             0.98624,             0.89884,           0.0065053,           0.0085274,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.012558,            0.019349,                   0,               0.958,              0.9802,             0.98054,             0.88878,           0.0071516,           0.0084255,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.012482,            0.018961,                   0,             0.95856,             0.96906,             0.98214,             0.91212,           0.0058226,            0.008563,                   0,            0.004555,            0.004555,            0.004555
                  13,             0.01179,            0.018073,                   0,             0.96456,             0.97153,             0.98553,             0.91486,           0.0060556,           0.0086261,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.010904,            0.017684,                   0,             0.96347,             0.97938,             0.98717,             0.92806,           0.0053627,           0.0079969,                   0,            0.003565,            0.003565,            0.003565
                  15,           0.0098189,            0.016621,                   0,             0.96336,             0.97772,             0.98786,             0.93698,           0.0051071,            0.007931,                   0,             0.00307,             0.00307,             0.00307
                  16,           0.0095793,            0.015548,                   0,             0.96242,             0.98265,             0.98452,             0.93495,           0.0047511,           0.0078302,                   0,            0.002575,            0.002575,            0.002575
                  17,           0.0086328,             0.01519,                   0,             0.96598,             0.98384,             0.98695,             0.93241,           0.0047288,           0.0077938,                   0,             0.00208,             0.00208,             0.00208
                  18,           0.0083361,            0.014486,                   0,             0.96574,             0.97688,             0.98776,              0.9356,           0.0044388,           0.0077922,                   0,            0.001585,            0.001585,            0.001585
                  19,           0.0073414,            0.013971,                   0,             0.96688,             0.97559,             0.98874,             0.93887,           0.0044205,           0.0078663,                   0,             0.00109,             0.00109,             0.00109
